"","id","sampleType","CPE_phtype","AmpC_phtype","ESBL_phtype","ESBL_AmpC_phtype","other_phtype","amp_tx","ceft_clavtx"
"172","172","broilers","0","0","0","0","0","1","1"
"173","173","broilers","0","0","0","0","0","1","1"
"174","174","broilers","0","0","0","0","0","1","1"
"175","175","broilers","0","0","0","0","0","1","1"
"176","176","broilers","0","0","0","0","0","1","1"
"177","177","broilers","0","0","0","0","0","1","1"
"178","178","broilers","0","0","0","0","0","1","1"
"179","179","broilers","0","0","0","0","0","1","1"
"180","180","broilers","0","0","0","0","0","1","1"
"181","181","broilers","0","0","0","0","0","1","1"
"182","182","broilers","0","0","0","0","0","1","1"
"183","183","broilers","0","0","0","0","0","1","1"
"184","184","broilers","0","0","0","0","0","1","1"
"185","185","broilers","0","0","0","0","0","1","1"
"186","186","broilers","0","0","0","0","0","1","1"
"187","187","broilers","0","0","0","0","0","1","1"
"188","188","broilers","0","0","0","0","0","1","1"
"189","189","broilers","0","0","0","0","0","1","1"
"190","190","broilers","0","0","0","0","0","1","1"
"191","191","broilers","0","0","0","0","0","1","1"
"192","192","broilers","0","0","0","0","0","1","1"
"193","193","broilers","0","0","0","0","0","1","1"
"194","194","broilers","0","0","0","0","0","1","1"
"195","195","broilers","0","0","0","0","0","1","1"
"196","196","broilers","0","0","0","0","0","1","1"
"197","197","broilers","0","0","0","0","0","1","1"
"198","198","broilers","0","0","0","0","0","1","1"
"199","199","broilers","0","0","0","0","0","1","1"
"200","200","broilers","0","0","0","0","0","1","1"
"201","201","broilers","0","0","0","0","0","1","1"
"202","202","broilers","0","0","0","0","0","1","1"
"203","203","broilers","0","0","0","0","0","1","1"
"204","204","broilers","0","0","0","0","0","1","1"
"205","205","broilers","0","0","0","0","0","1","1"
"206","206","broilers","0","0","0","0","0","1","1"
"207","207","broilers","0","0","0","0","0","1","1"
"208","208","broilers","0","0","0","0","0","1","1"
"209","209","broilers","0","0","0","0","0","1","1"
"210","210","broilers","0","0","0","0","0","1","1"
"211","211","broilers","0","0","0","0","0","1","1"
"212","212","broilers","0","0","0","0","0","1","1"
"213","213","broilers","0","0","0","0","0","1","1"
"214","214","broilers","0","0","0","0","0","1","1"
"215","215","broilers","0","0","0","0","0","1","1"
"216","216","broilers","0","0","0","0","0","1","1"
"217","217","broilers","0","0","0","0","0","1","1"
"218","218","broilers","0","0","0","0","0","1","1"
"219","219","broilers","0","0","0","0","0","1","1"
"220","220","broilers","0","0","0","0","0","1","1"
"221","221","broilers","0","0","0","0","0","1","1"
"222","222","broilers","0","0","0","0","0","1","1"
"223","223","broilers","0","0","0","0","0","1","1"
"224","224","broilers","0","0","0","0","0","1","1"
"225","225","broilers","0","0","0","0","0","1","1"
"226","226","broilers","0","0","0","0","0","1","1"
"227","227","broilers","0","0","0","0","0","1","1"
"228","228","broilers","0","0","0","0","0","1","1"
"229","229","broilers","0","0","0","0","0","1","1"
"230","230","broilers","0","0","0","0","0","1","1"
"231","231","broilers","0","0","0","0","0","1","1"
"232","232","broilers","0","0","0","0","0","1","1"
"233","233","broilers","0","0","0","0","0","1","1"
"234","234","broilers","0","0","0","0","0","1","1"
"235","235","broilers","0","0","0","0","0","1","1"
"236","236","broilers","0","0","0","0","0","1","1"
"237","237","broilers","0","0","0","0","0","1","1"
"238","238","broilers","0","0","0","0","0","1","1"
"239","239","broilers","0","0","0","0","0","1","1"
"240","240","broilers","0","0","0","0","0","1","1"
"241","241","broilers","0","0","0","0","0","1","1"
"242","242","broilers","0","0","0","0","0","1","1"
"243","243","broilers","0","0","0","0","0","1","1"
